$mnode(0)setX5,"	$mnode(0)setY3","	$mnode(0)setZ0",,5,3,"(5, 3)"
$mnode(1)setX14,"	$mnode(1)setY9","	$mnode(1)setZ0",,14,9,"(14, 9)"
$mnode(2)setX23,"	$mnode(2)setY6","	$mnode(2)setZ0",,23,6,"(23, 6)"
$mnode(3)setX30,"	$mnode(3)setY6","	$mnode(3)setZ0",,30,6,"(30, 6)"
$mnode(4)setX49,"	$mnode(4)setY0","	$mnode(4)setZ0",,49,0,"(49, 0)"
$mnode(5)setX50,"	$mnode(5)setY7","	$mnode(5)setZ0",,50,7,"(50, 7)"
$mnode(6)setX63,"	$mnode(6)setY0","	$mnode(6)setZ0",,63,0,"(63, 0)"
$mnode(7)setX71,"	$mnode(7)setY9","	$mnode(7)setZ0",,71,9,"(71, 9)"
$mnode(8)setX88,"	$mnode(8)setY6","	$mnode(8)setZ0",,88,6,"(88, 6)"
$mnode(9)setX95,"	$mnode(9)setY5","	$mnode(9)setZ0",,95,5,"(95, 5)"
$mnode(10)setX104,"	$mnode(10)setY2","	$mnode(10)setZ0",,104,2,"(104, 2)"
$mnode(11)setX111,"	$mnode(11)setY7","	$mnode(11)setZ0",,111,7,"(111, 7)"
$mnode(12)setX127,"	$mnode(12)setY9","	$mnode(12)setZ0",,127,9,"(127, 9)"
$mnode(13)setX136,"	$mnode(13)setY8","	$mnode(13)setZ0",,136,8,"(136, 8)"
$mnode(14)setX145,"	$mnode(14)setY3","	$mnode(14)setZ0",,145,3,"(145, 3)"
$mnode(15)setX156,"	$mnode(15)setY9","	$mnode(15)setZ0",,156,9,"(156, 9)"
$mnode(16)setX165,"	$mnode(16)setY5","	$mnode(16)setZ0",,165,5,"(165, 5)"
$mnode(17)setX174,"	$mnode(17)setY4","	$mnode(17)setZ0",,174,4,"(174, 4)"
$mnode(18)setX181,"	$mnode(18)setY2","	$mnode(18)setZ0",,181,2,"(181, 2)"
$mnode(19)setX197,"	$mnode(19)setY7","	$mnode(19)setZ0",,197,7,"(197, 7)"
$mnode(20)setX4,"	$mnode(20)setY15","	$mnode(20)setZ0",,4,15,"(4, 15)"
$mnode(21)setX14,"	$mnode(21)setY17","	$mnode(21)setZ0",,14,17,"(14, 17)"
$mnode(22)setX26,"	$mnode(22)setY14","	$mnode(22)setZ0",,26,14,"(26, 14)"
$mnode(23)setX38,"	$mnode(23)setY14","	$mnode(23)setZ0",,38,14,"(38, 14)"
$mnode(24)setX43,"	$mnode(24)setY11","	$mnode(24)setZ0",,43,11,"(43, 11)"
$mnode(25)setX51,"	$mnode(25)setY10","	$mnode(25)setZ0",,51,10,"(51, 10)"
$mnode(26)setX61,"	$mnode(26)setY13","	$mnode(26)setZ0",,61,13,"(61, 13)"
